,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0,6.0,0.28,0.35,1.9,0.037,16.0,120.0,0.9933,3.16,0.69,10.6,5
1,6.4,0.43,0.32,1.4,0.048,10.0,67.0,0.992,3.08,0.41,11.4,5
2,5.1,0.23,0.18,1.0,0.053,13.0,99.0,0.98956,3.22,0.39,11.5,5
3,11.5,0.45,0.5,3.0,0.078,19.0,47.0,1.0003,3.26,1.11,11.0,6
4,7.2,0.23,0.46,6.4,0.036,17.0,85.0,0.99279,3.1,0.78,11.7,6
5,6.7,0.42,0.27,8.6,0.068,24.0,148.0,0.9948,3.16,0.57,11.3,6
6,6.1,0.28,0.25,17.75,0.044,48.0,161.0,0.9993,3.34,0.48,9.5,5
7,6.2,0.52,0.08,4.4,0.071,11.0,32.0,0.99646,3.56,0.63,11.6,6
8,7.2,0.58,0.03,2.3,0.077,7.0,28.0,0.99568,3.35,0.52,10.0,5
9,6.4,0.34,0.2,14.9,0.06,37.0,162.0,0.9983,3.13,0.45,9.0,4
10,6.2,0.29,0.23,12.4,0.048,33.0,201.0,0.99612,3.11,0.56,9.9,6
11,5.9,0.37,0.3,1.5,0.033,35.0,95.0,0.98986,3.36,0.56,12.0,7
12,6.9,0.23,0.41,8.0,0.03,30.0,114.0,0.99368,3.22,0.54,11.0,6
13,6.1,0.41,0.0,1.6,0.063,36.0,87.0,0.9914,3.27,0.67,10.8,6
14,9.0,0.4,0.41,2.0,0.0579999999999999,15.0,40.0,0.99414,3.22,0.6,12.2,6
15,6.7,0.28,0.34,8.9,0.048,32.0,111.0,0.99455,3.25,0.54,11.0,7
16,7.7,0.3,0.26,18.95,0.053,36.0,174.0,0.99976,3.2,0.5,10.4,5
17,6.1,0.26,0.51,2.2,0.05,61.0,154.0,0.9929,3.08,0.6,9.8,6
18,8.3,0.61,0.3,2.1,0.084,11.0,50.0,0.9972,3.4,0.61,10.2,6
19,7.7,0.43,0.37,10.0,0.1689999999999999,22.0,210.0,0.99776,3.02,0.64,9.5,5
20,6.7,0.46,0.27,5.2,0.039,35.0,96.0,0.99129,3.16,0.44,12.4,7
21,7.4,0.23,0.38,8.6,0.052,41.0,150.0,0.99534,3.06,0.46,10.3,5
22,6.3,0.36,0.3,4.8,0.049,14.0,85.0,0.9932,3.28,0.39,10.6,5
23,7.9,0.14,0.45,1.8,0.05,17.0,114.0,0.9948,3.33,0.49,10.7,7
24,6.9,0.4,0.37,8.9,0.053,36.0,148.0,0.996,3.16,0.5,9.3,5
